"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 22 21:36:50 GMT 2025","Sat Mar 22 21:36:50 GMT 2025","61","Simple Test Suite 3","","","","","always passes - using Cypress commands",""
"passed","Sat Mar 22 21:36:34 GMT 2025","Sat Mar 22 21:36:35 GMT 2025","518","Simple Test Suite 1","","","","","always passes - with wait",""
"passed","Sat Mar 22 21:36:34 GMT 2025","Sat Mar 22 21:36:34 GMT 2025","34","Simple Test Suite 1","","","","","always passes - basic assertions",""
"passed","Sat Mar 22 21:36:50 GMT 2025","Sat Mar 22 21:36:50 GMT 2025","19","Simple Test Suite 3","","","","","always passes - environment check",""
"passed","Sat Mar 22 21:36:59 GMT 2025","Sat Mar 22 21:36:59 GMT 2025","57","Simple Test Suite 2","","","","","always passes - working with objects",""
"passed","Sat Mar 22 21:36:59 GMT 2025","Sat Mar 22 21:36:59 GMT 2025","17","Simple Test Suite 2","","","","","always passes - working with arrays",""
