"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 21 13:42:15 GMT 2025","Fri Mar 21 13:42:15 GMT 2025","24","Simple Test Suite 3","","","","","always passes - environment check",""
"passed","Fri Mar 21 13:41:59 GMT 2025","Fri Mar 21 13:41:59 GMT 2025","20","Simple Test Suite 2","","","","","always passes - working with arrays",""
"passed","Fri Mar 21 13:42:11 GMT 2025","Fri Mar 21 13:42:12 GMT 2025","521","Simple Test Suite 1","","","","","always passes - with wait",""
"passed","Fri Mar 21 13:42:11 GMT 2025","Fri Mar 21 13:42:11 GMT 2025","60","Simple Test Suite 1","","","","","always passes - basic assertions",""
"passed","Fri Mar 21 13:42:15 GMT 2025","Fri Mar 21 13:42:15 GMT 2025","50","Simple Test Suite 3","","","","","always passes - using Cypress commands",""
"passed","Fri Mar 21 13:41:59 GMT 2025","Fri Mar 21 13:41:59 GMT 2025","40","Simple Test Suite 2","","","","","always passes - working with objects",""
