"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 21 09:40:06 GMT 2025","Fri Mar 21 09:40:06 GMT 2025","59","Simple Test Suite 3","","","","","always passes - using Cypress commands",""
"passed","Fri Mar 21 09:40:05 GMT 2025","Fri Mar 21 09:40:05 GMT 2025","35","Simple Test Suite 1","","","","","always passes - basic assertions",""
"passed","Fri Mar 21 09:40:29 GMT 2025","Fri Mar 21 09:40:29 GMT 2025","16","Simple Test Suite 2","","","","","always passes - working with arrays",""
"passed","Fri Mar 21 09:40:06 GMT 2025","Fri Mar 21 09:40:06 GMT 2025","36","Simple Test Suite 3","","","","","always passes - environment check",""
"passed","Fri Mar 21 09:40:05 GMT 2025","Fri Mar 21 09:40:06 GMT 2025","520","Simple Test Suite 1","","","","","always passes - with wait",""
"passed","Fri Mar 21 09:40:29 GMT 2025","Fri Mar 21 09:40:29 GMT 2025","47","Simple Test Suite 2","","","","","always passes - working with objects",""
